order_id,order_date,customer_id,product_name,category,quantity,unit_price,discount,total_sales,region
1,2024-08-29,C826,Dress,Clothing,7,85.17,0.04,572.34,Asia Pacific
2,2024-09-08,C1123,Cap,Accessories,7,62.5,0.05,415.62,Middle East
3,2023-11-19,C418,Milk,Grocery,3,8.69,0.19,21.12,Asia Pacific
4,2024-04-19,C1485,Novel,Books,4,39.05,0.13,135.89,North America
5,2023-12-17,C787,Lamp,Home Decor,4,131.52,0.26,389.3,Europe
6,2022-04-17,C1664,Face Cream,Beauty,2,41.86,0.06,78.7,Europe
7,2024-07-12,C1801,Rug,Home Decor,7,187.28,0.23,1009.44,North America
8,2022-01-15,C1426,Cushion,Home Decor,8,64.09,0.23,394.79,North America
9,2023-09-11,C1203,Magazine,Books,9,33.97,0.29,217.07,North America
10,2022-03-12,C1216,Cap,Accessories,2,38.67,0.12,68.06,Asia Pacific
11,2023-07-08,C353,Cricket Bat,Sports,8,272.34,0.18,1786.55,Middle East
12,2022-11-30,C467,Jacket,Clothing,8,37.24,0.22,232.38,Europe
13,2023-12-31,C1533,Hoodie,Clothing,4,84.18,0.19,272.74,North America
14,2022-05-03,C334,Milk,Grocery,9,13.68,0.14,105.88,Asia Pacific
15,2022-09-01,C371,Serum,Beauty,7,70.81,0.01,490.71,Europe
16,2023-09-26,C983,Pasta,Grocery,6,17.38,0.26,77.17,Middle East
17,2021-08-17,C224,Wallet,Accessories,4,13.37,0.09,48.67,Middle East
18,2021-08-20,C1822,Vase,Home Decor,8,121.64,0.3,681.18,Europe
19,2023-05-06,C29,Jeans,Clothing,2,106.97,0.22,166.87,Asia Pacific
20,2021-03-10,C454,Textbook,Books,8,33.75,0.21,213.3,Middle East
21,2024-05-06,C804,Tennis Racket,Sports,5,149.57,0.27,545.93,Asia Pacific
22,2024-11-17,C1818,Dumbbells,Sports,1,176.8,0.26,130.83,Europe
23,2023-03-18,C341,Textbook,Books,7,18.49,0.14,111.31,Asia Pacific
24,2021-09-19,C1987,Face Cream,Beauty,6,114.02,0.16,574.66,Middle East
25,2024-12-08,C1541,Football,Sports,7,20.7,0.17,120.27,North America
26,2023-07-13,C1939,Dumbbells,Sports,6,244.01,0.03,1420.14,Middle East
27,2022-10-16,C1186,Pasta,Grocery,5,16.31,0.27,59.53,Asia Pacific
28,2021-06-19,C1095,Smartphone,Electronics,1,824.25,0.11,733.58,Europe
29,2021-01-28,C490,Comics,Books,7,37.98,0.28,191.42,Europe
30,2022-06-02,C1976,Novel,Books,1,9.29,0.14,7.99,Middle East
31,2023-06-21,C1371,Dress,Clothing,6,75.61,0.23,349.32,Middle East
32,2022-02-14,C1508,Lamp,Home Decor,6,176.03,0.13,918.88,Middle East
33,2024-09-02,C688,Jeans,Clothing,3,63.64,0.24,145.1,Asia Pacific
34,2024-11-13,C1601,T-Shirt,Clothing,9,23.07,0.04,199.32,Asia Pacific
35,2021-08-26,C1852,Football,Sports,9,90.18,0.23,624.95,North America
